Date,Symbol,Order,Shares
2006-02-23,IBM,BUY,500
2006-03-09,IBM,SELL,500
2006-03-09,IBM,BUY,500
2006-03-23,IBM,SELL,500
2006-03-23,IBM,SELL,500
2006-04-06,IBM,BUY,500
2006-04-06,IBM,SELL,500
2006-04-21,IBM,BUY,500
2006-04-21,IBM,SELL,500
2006-05-05,IBM,BUY,500
2006-05-05,IBM,SELL,500
2006-05-19,IBM,BUY,500
2006-05-19,IBM,SELL,500
2006-06-05,IBM,BUY,500
2006-06-05,IBM,SELL,500
2006-06-19,IBM,BUY,500
2006-06-19,IBM,SELL,500
2006-07-03,IBM,BUY,500
2006-07-03,IBM,SELL,500
2006-07-18,IBM,BUY,500
2006-07-18,IBM,BUY,500
2006-08-01,IBM,SELL,500
2006-08-01,IBM,BUY,500
2006-08-15,IBM,SELL,500
2006-08-15,IBM,BUY,500
2006-08-29,IBM,SELL,500
2006-08-29,IBM,BUY,500
2006-09-13,IBM,SELL,500
2006-09-21,IBM,BUY,500
2006-10-05,IBM,SELL,500
2006-10-05,IBM,BUY,500
2006-10-19,IBM,SELL,500
2006-10-19,IBM,BUY,500
2006-11-02,IBM,SELL,500
2006-11-02,IBM,BUY,500
2006-11-16,IBM,SELL,500
2006-11-16,IBM,SELL,500
2006-12-01,IBM,BUY,500
2006-12-01,IBM,BUY,500
2006-12-15,IBM,SELL,500
2006-12-15,IBM,BUY,500
2007-01-03,IBM,SELL,500
2007-01-03,IBM,BUY,500
2007-01-18,IBM,SELL,500
2007-01-18,IBM,SELL,500
2007-02-01,IBM,BUY,500
2007-02-01,IBM,SELL,500
2007-02-15,IBM,BUY,500
2007-02-15,IBM,SELL,500
2007-03-02,IBM,BUY,500
2007-03-02,IBM,BUY,500
2007-03-16,IBM,SELL,500
2007-03-16,IBM,BUY,500
2007-03-30,IBM,SELL,500
2007-03-30,IBM,BUY,500
2007-04-16,IBM,SELL,500
2007-04-16,IBM,BUY,500
2007-04-30,IBM,SELL,500
2007-04-30,IBM,BUY,500
2007-05-14,IBM,SELL,500
2007-05-15,IBM,BUY,500
2007-05-30,IBM,SELL,500
2007-05-30,IBM,SELL,500
2007-06-13,IBM,BUY,500
2007-06-13,IBM,BUY,500
2007-06-27,IBM,SELL,500
2007-06-27,IBM,BUY,500
2007-07-12,IBM,SELL,500
2007-07-12,IBM,BUY,500
2007-07-26,IBM,SELL,500
